Date,NAO_index
1864-06-01,1.762
1864-07-01,0.504
1864-08-01,-0.209
1864-09-01,1.119
1864-10-01,-6.053
1864-11-01,0.006
1864-12-01,-0.765
1865-01-01,0.146
1865-02-01,-0.418
1865-03-01,-1.032
1865-04-01,0.921
1865-05-01,0.867
1865-06-01,0.738
1865-07-01,-0.072
1865-08-01,-0.221
1865-09-01,3.239
1865-10-01,-2.656
1865-11-01,-0.139
1865-12-01,2.574
1866-01-01,2.055
1866-02-01,0.702
1866-03-01,-2.103
1866-04-01,-0.876
1866-05-01,-1.539
1866-06-01,-0.185
1866-07-01,0.285
1866-08-01,0.771
1866-09-01,1.522
1866-10-01,-0.028
1866-11-01,1.012
1866-12-01,2.135
1867-01-01,-2.168
1867-02-01,3.635
1867-03-01,-3.027
1867-04-01,3.077
1867-05-01,-2.346
1867-06-01,-1.2
1867-07-01,-1.773
1867-08-01,3.1
1867-09-01,1.133
1867-10-01,0.733
1867-11-01,-1.512
1867-12-01,-0.551
1868-01-01,1.456
1868-02-01,3.954
1868-03-01,2.94
1868-04-01,2.515
1868-05-01,1.346
1868-06-01,2.101
1868-07-01,1.207
1868-08-01,3.016
1868-09-01,-2.653
1868-10-01,1.873
1868-11-01,-0.833
1868-12-01,2.014
1869-01-01,3.249
1869-02-01,3.9
1869-03-01,-1.911
1869-04-01,2.618
1869-05-01,-1.985
1869-06-01,-0.711
1869-07-01,0.289
1869-08-01,1.146
1869-09-01,0.621
1869-10-01,-0.794
1869-11-01,0.792
1869-12-01,-0.692
1870-01-01,0.319
1870-02-01,-1.978
1870-03-01,-2.072
1870-04-01,2.918
1870-05-01,1.546
1870-06-01,0.56
1870-07-01,-0.363
1870-08-01,-3.409
1870-09-01,1.711
1870-10-01,1.298
1870-11-01,-2.04
1870-12-01,-3.519
1871-01-01,0.674
1871-02-01,1.708
1871-03-01,1.148
1871-04-01,-0.316
1871-05-01,-2.499
1871-06-01,-1.366
1871-07-01,1.752
1871-08-01,4.191
1871-09-01,-1.933
1871-10-01,-0.895
1871-11-01,-3.717
1871-12-01,-0.182
1872-01-01,1.151
